Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2087.817,382.4109,160.0313,USP,100,0,-96.34682,-219.8119,0,False,False,False,246.4453,2.460938
SK.xelos4s ;E,CounterTerrorist,2081.516,368.8736,160.0313,USP,100,0,-114.1113,-207.0748,0,False,False,False,246.4453,2.460938
SK.xelos4s ;E,CounterTerrorist,2072.964,356.9488,160.0313,USP,100,0,-152.7528,-179.3736,0,False,False,False,246.4453,2.460938
SK.xelos4s ;E,CounterTerrorist,2062.384,347.0669,160.0313,USP,100,0,-180.7811,-129.4891,0,False,False,False,247.5,2.460938
SK.xelos4s ;E,CounterTerrorist,2050.327,341.2513,160.0313,USP,100,0,-201.4567,-67.51752,0,False,False,False,247.8516,2.460938
SK.xelos4s ;E,CounterTerrorist,2037.175,338.7036,160.0313,USP,100,0,-216.7501,-22.03103,0,False,False,False,248.2031,2.460938
SK.xelos4s ;E,CounterTerrorist,2025.638,337.5821,160.0313,USP,100,0,-138.7581,-24.02825,0,False,False,False,249.2578,2.460938
SK.xelos4s ;E,CounterTerrorist,2020.85,335.3644,160.0313,USP,100,0,-32.5789,-43.1502,0,False,False,False,249.2578,2.460938
SK.xelos4s ;E,CounterTerrorist,2021.472,332.4397,160.0313,USP,100,0,25.46284,-44.66264,0,False,False,False,249.6094,2.460938
SK.xelos4s ;E,CounterTerrorist,2020.834,331.1273,160.0313,USP,100,0,-39.05737,-2.125643,0,False,False,False,249.2578,2.460938
SK.xelos4s ;E,CounterTerrorist,2016.423,331.963,160.0313,USP,100,0,-94.58796,24.22586,0,False,False,False,249.6094,2.8125
SK.xelos4s ;E,CounterTerrorist,2008.949,332.5535,160.0313,USP,100,0,-136.8716,-6.898589,0,False,False,False,249.9609,2.8125
SK.xelos4s ;E,CounterTerrorist,2000.206,330.1925,160.0313,USP,100,0,-134.1466,-66.39642,0,False,False,False,251.7188,3.164063
SK.xelos4s ;E,CounterTerrorist,1992.296,324.1046,160.0313,USP,100,0,-120.952,-119.2643,0,False,False,False,253.125,3.164063
SK.xelos4s ;E,CounterTerrorist,1985.157,315.2014,160.0313,USP,100,0,-109.0251,-158.8584,0,False,False,False,255.2344,3.164063
SK.xelos4s ;E,CounterTerrorist,1979.865,304.3304,160.0313,USP,100,0,-55.79657,-182.1922,0,False,False,False,258.75,3.867188
SK.xelos4s ;E,CounterTerrorist,1978.498,292.5066,160.0313,USP,100,0,2.569364,-193.6296,0,False,False,False,262.6172,4.570313
SK.xelos4s ;E,CounterTerrorist,1979.138,279.8104,160.0313,USP,100,0,6.230241,-212.5949,0,False,False,False,264.7266,4.921875
SK.xelos4s ;E,CounterTerrorist,1979.254,265.8796,160.0313,USP,100,0,-0.7729993,-230.1531,0,False,False,False,266.8359,5.625
SK.xelos4s ;E,CounterTerrorist,1979.13,251.057,160.0313,USP,100,0,-2.032207,-239.9914,0,False,False,False,270.3516,6.679688
SK.xelos4s ;E,CounterTerrorist,1980.867,236.4496,160.0313,USP,100,0,51.25146,-227.4331,0,False,False,False,274.5703,8.4375
SK.xelos4s ;E,CounterTerrorist,1985.683,222.7359,160.0313,USP,100,0,95.72337,-213.0995,0,False,False,False,278.7891,9.492188
SK.xelos4s ;E,CounterTerrorist,1990.116,208.8922,160.0313,USP,100,0,-5.37244,-225.0854,0,False,False,False,284.0625,9.84375
SK.xelos4s ;E,CounterTerrorist,1988.543,194.6206,160.0313,USP,100,0,-38.11463,-231.1391,0,False,False,False,289.3359,9.492188
