Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2431.213,2184.713,124.2601,Knife,100,92,-32.20307,29.15096,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2429.066,2188.761,124.16,Knife,100,92,-31.485,93.51036,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2427.415,2195.353,124.0698,Knife,100,92,-35.06104,136.3585,0,False,True,True,272.8125,7.734375
[R] NillE ;-),CounterTerrorist,2422.658,2205.303,123.8508,Knife,100,92,-95.90338,131.7924,0,False,True,True,270.3516,7.382813
[R] NillE ;-),CounterTerrorist,2414.829,2212.706,123.8881,Knife,100,92,-144.1964,115.6505,0,False,True,True,241.875,7.382813
[R] NillE ;-),CounterTerrorist,2405.097,2220.603,124.0181,Knife,100,92,-166.1513,130.0515,0,False,True,True,197.5781,7.382813
[R] NillE ;-),CounterTerrorist,2394.294,2229.396,124.1337,Knife,100,92,-172.7228,152.6463,0,False,True,True,165.9375,7.382813
[R] NillE ;-),CounterTerrorist,2382.791,2238.728,124.2833,Knife,100,92,-195.6821,142.7594,0,False,True,True,160.3125,7.03125
[R] NillE ;-),CounterTerrorist,2369.835,2247.202,124.5201,Knife,100,92,-213.8132,129.5527,0,False,True,True,160.3125,7.03125
[R] NillE ;-),CounterTerrorist,2356.198,2254.824,124.9135,Knife,100,92,-221.1329,116.62,0,False,True,True,160.3125,7.03125
[R] NillE ;-),CounterTerrorist,2342.202,2261.769,125.971,Knife,100,92,-225.7915,107.323,0,False,True,True,160.3125,7.03125
[R] NillE ;-),CounterTerrorist,2329.768,2267.452,126.7363,Knife,100,92,-228.3999,101.6537,0,False,True,True,160.3125,7.03125
[R] NillE ;-),CounterTerrorist,2315.419,2273.635,126.9466,Knife,100,92,-230.404,97.02583,0,False,True,True,160.3125,7.03125
[R] NillE ;-),CounterTerrorist,2300.968,2279.576,127.1807,Knife,100,92,-231.7918,93.66192,0,False,True,True,160.3125,7.03125
[R] NillE ;-),CounterTerrorist,2286.442,2285.331,127.4331,Knife,100,92,-232.8529,90.9918,0,False,True,True,160.3125,7.382813
[R] NillE ;-),CounterTerrorist,2271.765,2290.469,127.7407,Knife,100,92,-238.212,62.91273,0,False,True,True,159.6094,7.382813
[R] NillE ;-),CounterTerrorist,2254.687,2292.705,128.3476,Knife,100,92,-246.2915,9.760281,0,False,True,True,158.9063,7.382813
[R] NillE ;-),CounterTerrorist,2241.105,2293.955,128.8717,Knife,100,92,-247.9906,31.63359,0,False,True,True,158.9063,7.382813
[R] NillE ;-),CounterTerrorist,2223.796,2296.993,129.4807,Knife,100,92,-244.6766,51.31617,0,False,True,True,158.5547,7.382813
[R] NillE ;-),CounterTerrorist,2208.605,2300.647,130.9153,Knife,100,92,-241.816,63.44313,0,False,True,True,158.5547,7.382813
[R] NillE ;-),CounterTerrorist,2193.238,2303.069,133.4323,Knife,100,92,-248.9259,19.45824,0,False,True,True,156.7969,7.734375
[R] NillE ;-),CounterTerrorist,2177.62,2303.185,135.7244,Knife,100,92,-249.9829,-2.924101,0,False,True,True,152.5781,7.734375
[R] NillE ;-),CounterTerrorist,2162.059,2304.413,140.0313,Knife,100,92,-247.3717,36.15569,0,False,True,True,148.3594,7.734375
[R] NillE ;-),CounterTerrorist,2146.815,2307.796,140.0313,Knife,100,92,-240.93,66.72874,0,False,True,True,146.9531,7.734375
