Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,CZ,100,0,0,0,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2479.464,2113.285,126.7381,CZ,100,0,-18.84667,45.16283,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2477.467,2118.071,126.5988,CZ,100,0,-41.62581,99.74915,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2474.225,2125.84,126.4961,CZ,100,0,-59.06765,141.5455,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2470.061,2135.817,126.4199,CZ,100,0,-71.91453,172.3309,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2465.587,2147.421,126.2311,CZ,100,0,-58.1608,195.0672,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2463.544,2160.231,126.1947,CZ,100,0,-14.79005,211.9014,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2463.793,2173.93,126.3317,CZ,100,0,17.15494,224.3007,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2463.656,2188.279,126.3349,CZ,100,0,-15.77231,233.2847,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2461.787,2203.054,126.2154,CZ,100,0,-39.52486,236.723,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2458.721,2217.735,125.9675,CZ,100,0,-55.62564,233.4647,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2454.831,2232.22,125.6476,CZ,100,0,-66.80821,230.5139,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2450.374,2246.542,125.3857,CZ,100,0,-74.33749,228.1971,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2445.54,2260.741,125.2032,CZ,100,0,-79.40411,226.484,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2439.271,2274.104,124.9423,CZ,100,0,-120.5011,200.3239,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2430.4,2285.717,124.4941,CZ,100,0,-156.9793,175.5985,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2419.663,2296.052,123.9323,CZ,100,0,-177.0276,162.0532,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2409.398,2306.977,123.5129,CZ,100,0,-154.957,183.2712,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2400.345,2318.931,123.4055,CZ,100,0,-137.6741,196.5854,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2392.215,2331.534,123.3011,CZ,100,0,-124.7692,205.0186,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2384.763,2344.55,123.1993,CZ,100,0,-115.3852,210.443,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2377.791,2357.831,123.0993,CZ,100,0,-108.9222,213.8597,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2370.451,2370.796,122.8413,CZ,100,0,-133.4809,195.9557,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2360.895,2382.177,122.2175,CZ,100,0,-166.5396,172.3811,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2349.733,2392.185,121.5693,CZ,100,0,-186.4498,151.1175,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2337.617,2401.02,121.2057,CZ,100,0,-198.7962,134.4622,0,False,False,False,112.5,9.84375
[R] NillE ;-),CounterTerrorist,2324.899,2408.969,121.9276,CZ,100,0,-206.6236,122.093,0,False,False,False,112.5,9.84375
