Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
ALEX* ;x,Terrorist,-1477.978,261.2894,-55.96875,Knife,100,100,138.5674,0,0,False,True,False,342.0703,6.328125
ALEX* ;x,Terrorist,-1470.83,260.6962,-55.96875,Knife,100,100,112.9649,-20.40911,0,False,True,False,342.0703,6.328125
ALEX* ;x,Terrorist,-1465.757,256.942,-55.96875,Knife,100,100,58.64085,-87.83659,0,False,True,False,341.0156,6.328125
ALEX* ;x,Terrorist,-1463.611,253.1356,-55.96875,Knife,100,100,9.989573,-52.67744,0,False,True,False,342.4219,5.976563
ALEX* ;x,Terrorist,-1463.81,248.6056,-55.96875,Knife,100,100,-12.75887,-104.43,0,False,True,False,343.125,5.625
ALEX* ;x,Terrorist,-1465.562,239.1746,-63.96875,Knife,100,100,-33.35735,-155.3711,0,False,True,False,343.8281,5.625
ALEX* ;x,Terrorist,-1468.084,228.2495,-63.96877,Knife,100,100,-45.07662,-188.4895,0,False,True,False,344.8828,5.273438
ALEX* ;x,Terrorist,-1469.399,223.6955,-63.96878,Knife,100,100,-2.28465,-32.1754,0,False,True,False,344.8828,5.273438
ALEX* ;x,Terrorist,-1467.825,219.0713,-63.96878,Knife,100,100,40.15855,-92.17237,0,False,True,False,345.2344,5.273438
ALEX* ;x,Terrorist,-1464.014,212.1124,-63.96878,Knife,100,100,84.00875,-112.9367,0,False,True,False,348.75,4.921875
ALEX* ;x,Terrorist,-1457.868,206.4361,-63.96878,Knife,100,100,131.9563,-96.76174,0,False,True,False,352.9688,4.570313
ALEX* ;x,Terrorist,-1446.697,200.4716,-63.96878,Knife,100,100,178.1512,-75.46429,0,False,True,False,356.8359,4.570313
ALEX* ;x,Terrorist,-1434.466,196.3936,-63.96878,Knife,100,100,208.0199,-57.04517,0,False,True,False,1.054688,4.570313
ALEX* ;x,Terrorist,-1422.46,193.8741,-63.58287,Knife,100,100,227.2984,-37.15471,0,False,True,False,8.789063,3.515625
ALEX* ;x,Terrorist,-1405.805,192.5029,-59.41899,Knife,100,100,243.1591,-4.770917,0,False,True,False,18.28125,3.164063
ALEX* ;x,Terrorist,-1390.344,193.2604,-55.55385,Knife,100,100,248.742,25.04808,0,False,True,False,24.25781,3.867188
ALEX* ;x,Terrorist,-1376.843,195.3838,-52.17864,Knife,100,100,245.2224,48.6414,0,False,True,False,27.42188,3.867188
