Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,1415.131,354.0721,119.8425,USP,100,0,-35.11023,-49.91285,0,True,False,False,184.9219,3.515625
[R] NillE ;-),CounterTerrorist,1412.431,351.3182,119.5603,USP,100,0,-48.47686,-41.36867,0,True,False,False,202.8516,2.8125
[R] NillE ;-),CounterTerrorist,1408.143,348.2396,119.1019,USP,100,0,-90.56696,-59.74663,0,False,False,False,208.8281,0.3515625
[R] NillE ;-),CounterTerrorist,1400.988,343.7727,119.1251,USP,100,0,-131.2614,-79.69965,0,False,False,False,208.8281,0.3515625
[R] NillE ;-),CounterTerrorist,1391.684,338.2518,120.021,USP,100,0,-161.2351,-94.39618,0,False,False,False,208.8281,0.3515625
[R] NillE ;-),CounterTerrorist,1380.593,333.413,121.4892,USP,100,0,-189.2728,-57.88688,0,False,False,False,208.8281,0.3515625
[R] NillE ;-),CounterTerrorist,1367.992,331.1044,122.6867,USP,100,0,-210.2975,-22.23738,0,False,False,False,208.8281,0.3515625
[R] NillE ;-),CounterTerrorist,1354.482,329.0206,123.4043,USP,100,0,-219.2485,-47.54211,0,False,False,False,211.9922,359.6484
[R] NillE ;-),CounterTerrorist,1340.66,324.9873,124.2795,USP,100,0,-221.7699,-77.47395,0,False,False,False,217.6172,358.2422
[R] NillE ;-),CounterTerrorist,1326.636,319.8769,128.0313,USP,100,0,-228.6336,-72.98398,0,False,False,False,224.2969,356.4844
[R] NillE ;-),CounterTerrorist,1312.155,315.9761,128.0313,USP,100,0,-233.2758,-56.41258,0,False,False,False,231.6797,354.7266
[R] NillE ;-),CounterTerrorist,1297.593,314.1665,128.0313,USP,100,0,-233.0911,-5.444723,0,False,False,False,238.711,354.0234
[R] NillE ;-),CounterTerrorist,1284.751,314.9328,128.0313,USP,100,0,-236.5884,26.26969,0,False,False,False,245.0391,353.6719
[R] NillE ;-),CounterTerrorist,1268.103,317.6287,130.3418,USP,100,0,-235.9388,43.96486,292.6184,False,False,False,253.125,353.6719
[R] NillE ;-),CounterTerrorist,1254.409,320.1287,147.0679,USP,100,0,-181.6832,31.36185,242.6184,False,False,False,257.3438,354.375
[R] NillE ;-),CounterTerrorist,1247.108,321.2188,151.2363,USP,100,0,-64.76346,6.543738,-34.375,False,False,False,258.3984,354.375
[R] NillE ;-),CounterTerrorist,1247.077,320.8373,147.5254,USP,100,0,28.42525,-11.60957,-84.375,False,False,False,260.1563,355.4297
[R] NillE ;-),CounterTerrorist,1248.86,320.1108,140.6895,USP,100,0,28.59593,-11.63689,-134.375,False,False,False,261.5625,355.4297
[R] NillE ;-),CounterTerrorist,1251.187,319.7905,130.7285,USP,100,0,40.20442,-2.87776,-184.375,False,False,False,262.6172,354.7266
[R] NillE ;-),CounterTerrorist,1254.913,320.9268,128.0313,USP,100,0,79.16457,37.67757,0,False,False,False,262.6172,354.7266
[R] NillE ;-),CounterTerrorist,1261.332,323.9688,128.0313,USP,100,0,122.7172,0,0,False,False,False,262.6172,354.7266
[R] NillE ;-),CounterTerrorist,1270.414,323.5419,128.0313,USP,100,0,86.40322,-86.40324,0,False,False,False,262.6172,354.7266
[R] NillE ;-),CounterTerrorist,1275.762,318.3446,128.0313,USP,100,0,88.64941,-78.94269,0,False,False,False,262.9688,354.7266
[R] NillE ;-),CounterTerrorist,1281.901,313.9951,128.0313,USP,100,0,104.9532,-63.01377,0,False,False,False,262.9688,354.375
[R] NillE ;-),CounterTerrorist,1288.847,310.5146,128.0313,USP,100,0,114.3317,-50.03301,0,False,False,False,262.9688,354.375
[R] NillE ;-),CounterTerrorist,1296.145,307.7705,128.0313,USP,100,0,118.3393,-39.63401,0,False,False,False,262.9688,354.375
[R] NillE ;-),CounterTerrorist,1303.706,305.5459,128.0313,Decoy,100,0,123.0894,-32.85964,0,False,False,False,263.3203,354.375
[R] NillE ;-),CounterTerrorist,1311.45,303.6944,128.0313,Decoy,100,0,124.4179,-27.40346,0,False,False,False,263.3203,354.375
[R] NillE ;-),CounterTerrorist,1319.254,302.1176,128.0313,Decoy,100,0,125.1699,-23.73292,0,False,False,False,263.6719,354.375
[R] NillE ;-),CounterTerrorist,1327.095,300.7324,128.0313,Decoy,100,0,125.631,-21.15659,0,False,False,False,262.6172,354.375
[R] NillE ;-),CounterTerrorist,1334.954,299.4561,128.0313,Decoy,100,0,125.835,-19.90734,0,False,False,False,262.6172,354.375
[R] NillE ;-),CounterTerrorist,1342.824,298.2454,125.7469,Decoy,100,0,125.9761,-18.99448,0,False,False,False,262.6172,354.375
[R] NillE ;-),CounterTerrorist,1350.701,297.0829,125.4187,Decoy,100,0,126.0758,-18.32098,0,False,False,False,262.6172,354.375
[R] NillE ;-),CounterTerrorist,1357.622,296.0857,125.1304,Decoy,100,0,96.49668,-13.90412,0,False,False,False,294.6094,350.8594
[R] NillE ;-),CounterTerrorist,1362.719,295.3512,124.918,Decoy,100,0,71.06064,-10.23906,0,False,False,False,354.7266,349.8047
[R] NillE ;-),CounterTerrorist,1366.378,294.8241,124.7655,Decoy,100,0,48.79062,-7.0302,0,False,False,False,33.39844,348.3984
[R] NillE ;-),CounterTerrorist,1368.644,294.4975,124.6711,Decoy,100,0,26.5206,-3.821333,0,False,False,False,36.5625,348.3984
[R] NillE ;-),CounterTerrorist,1369.519,294.3715,124.6347,Decoy,100,0,4.250598,-0.6124653,0,False,False,False,36.5625,348.3984
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,36.5625,348.3984
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,36.5625,348.3984
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,34.80469,344.1797
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,35.15625,340.6641
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,33.39844,336.4453
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,32.69531,329.4141
[R] NillE ;-),CounterTerrorist,1369.53,294.3698,124.6342,Decoy,100,0,0,0,0,False,False,False,31.28906,319.5703
