Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,1854.57,1246.424,160.0313,AK47,100,98,0,0,0,False,True,False,209.8828,357.1875
PnX | CSGOmall.com,Terrorist,1853.548,1248.179,160.0313,AK47,100,98,-28.09513,47.93536,0,False,True,False,210.5859,358.2422
PnX | CSGOmall.com,Terrorist,1850.847,1252.724,160.0313,AK47,100,98,-54.5348,90.73745,0,False,True,False,211.9922,0
PnX | CSGOmall.com,Terrorist,1846.649,1259.556,160.0313,AK47,100,98,-76.15369,122.2549,0,False,True,False,213.3984,1.757813
PnX | CSGOmall.com,Terrorist,1841.287,1268.038,160.0313,AK47,100,98,-92.71812,145.0479,0,False,True,False,214.1016,3.164063
PnX | CSGOmall.com,Terrorist,1835.013,1277.699,160.0313,AK47,100,98,-105.8678,161.1924,0,False,True,False,214.8047,3.867188
PnX | CSGOmall.com,Terrorist,1830.811,1284.225,160.0313,AK47,100,98,-40.0976,64.58176,0,False,True,False,215.1563,4.21875
PnX | CSGOmall.com,Terrorist,1829.719,1285.367,160.0313,AK47,100,98,-10.82907,-15.98693,0,False,True,False,215.1563,4.21875
PnX | CSGOmall.com,Terrorist,1828.887,1282.487,160.0313,AK47,100,98,-16.32178,-69.06025,0,False,True,False,215.1563,3.867188
PnX | CSGOmall.com,Terrorist,1827.603,1276.457,160.0313,AK47,100,98,-23.59636,-115.8081,0,False,True,False,214.8047,3.515625
PnX | CSGOmall.com,Terrorist,1825.916,1267.953,160.0313,AK47,100,98,-29.4511,-150.2677,0,False,True,False,214.4531,3.515625
PnX | CSGOmall.com,Terrorist,1823.861,1257.662,160.0313,AK47,100,98,-40.02356,-171.6553,0,False,True,False,214.1016,3.867188
PnX | CSGOmall.com,Terrorist,1819.741,1247.229,160.0313,AK47,100,98,-84.10995,-163.6111,0,False,True,False,214.1016,3.867188
PnX | CSGOmall.com,Terrorist,1813.292,1237.221,160.0313,AK47,100,98,-116.582,-157.6861,0,False,True,False,214.1016,3.867188
PnX | CSGOmall.com,Terrorist,1805.014,1227.967,157.9954,AK47,100,98,-146.1082,-129.3598,0,False,True,False,214.1016,3.867188
