Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-751.6166,551.2753,-31.96875,Glock,100,0,239.9918,1.985977,0,False,False,False,29.17969,356.1328
SK.xelos4s ;E,Terrorist,-736.634,550.6453,-31.96875,Glock,100,0,239.2966,-18.36087,0,False,False,False,29.17969,356.1328
SK.xelos4s ;E,Terrorist,-721.7195,549.0568,-31.96875,Glock,100,0,238.2588,-28.85745,0,False,False,False,35.50781,358.2422
SK.xelos4s ;E,Terrorist,-706.821,547.3163,-31.96875,Glock,100,0,238.6091,-25.8013,0,False,False,False,42.53906,0
SK.xelos4s ;E,Terrorist,-691.8915,545.8649,-31.96875,Glock,100,0,239.0408,-21.43644,0,False,False,False,42.53906,0
SK.xelos4s ;E,Terrorist,-676.9417,544.6402,-31.96875,Glock,100,0,239.3005,-18.31064,0,False,False,False,42.53906,0
SK.xelos4s ;E,Terrorist,-661.9808,543.5582,-31.96875,Glock,100,0,239.3676,-17.4111,0,False,False,False,39.02344,0.3515625
SK.xelos4s ;E,Terrorist,-647.0378,542.2597,-19.34373,Glock,100,0,238.7295,-24.66251,0,False,False,False,31.64063,1.40625
SK.xelos4s ;E,Terrorist,-632.1781,540.231,-11.68168,Glock,100,0,236.7706,-39.23889,0,False,False,False,24.60938,1.40625
SK.xelos4s ;E,Terrorist,-617.4921,537.1931,-4.109223,Glock,100,0,233.4361,-55.74592,0,False,False,False,20.74219,1.757813
SK.xelos4s ;E,Terrorist,-602.9958,533.3773,3.365419,Glock,100,0,233.0222,-54.6964,0,False,False,False,19.6875,2.460938
SK.xelos4s ;E,Terrorist,-588.1608,531.3969,11.01476,Glock,100,0,239.4954,-15.55507,0,False,False,False,19.33594,3.164063
SK.xelos4s ;E,Terrorist,-573.1687,531.4564,18.74504,Glock,100,0,239.6878,12.2379,0,False,False,False,18.28125,3.515625
SK.xelos4s ;E,Terrorist,-558.2382,532.8691,26.44357,Glock,100,0,238.2408,29.00559,0,False,False,False,14.76563,3.164063
SK.xelos4s ;E,Terrorist,-543.3806,534.9288,34.10456,Glock,100,0,237.4764,34.71284,0,False,False,False,10.19531,2.8125
SK.xelos4s ;E,Terrorist,-529.2433,538.9227,42.81847,Glock,100,0,219.9601,80.03077,292.6184,False,False,False,10.19531,3.515625
SK.xelos4s ;E,Terrorist,-515.5267,544.0116,59.54461,Glock,100,0,216.0115,91.16353,242.6184,False,False,False,19.6875,9.140625
SK.xelos4s ;E,Terrorist,-503.3401,552.492,73.14574,Glock,100,0,178.9069,162.7231,192.6184,False,False,False,35.15625,15.82031
SK.xelos4s ;E,Terrorist,-493.1073,563.8228,83.62188,Glock,100,0,153.8838,192.1433,142.6184,False,False,False,44.29688,16.875
SK.xelos4s ;E,Terrorist,-484.0554,576.3707,90.97301,Glock,100,0,139.3367,205.7271,92.61838,False,False,False,48.86719,16.52344
SK.xelos4s ;E,Terrorist,-475.8969,589.6755,95.1991,Glock,100,0,123.2531,218.4571,42.61838,False,False,False,53.78907,16.17188
SK.xelos4s ;E,Terrorist,-468.5807,603.6003,96.30018,Glock,100,0,112.841,225.6553,-7.381622,False,False,False,56.60156,16.17188
SK.xelos4s ;E,Terrorist,-461.6906,617.809,94.27625,Glock,100,0,109.46,227.8381,-57.38162,False,False,False,57.65625,15.46875
SK.xelos4s ;E,Terrorist,-454.8493,632.0487,89.12735,Glock,100,0,109.46,227.8381,-107.3816,False,False,False,57.30469,14.41406
SK.xelos4s ;E,Terrorist,-448.008,646.2885,80.85349,Glock,100,0,109.46,227.8381,-157.3816,False,False,False,57.65625,13.71094
SK.xelos4s ;E,Terrorist,-441.1667,660.5282,69.45462,Glock,100,0,109.46,227.8381,-207.3816,False,False,False,60.11719,12.30469
SK.xelos4s ;E,Terrorist,-434.3253,674.7679,54.93076,Glock,100,0,109.46,227.8381,-257.3816,False,False,False,64.6875,10.89844
SK.xelos4s ;E,Terrorist,-432.1117,687.8608,42.998,Glock,100,0,-6.79064,180.771,-3.125,False,False,False,64.33594,9.84375
SK.xelos4s ;E,Terrorist,-432.536,699.1591,41.24019,Glock,100,0,-6.79064,180.771,-53.125,False,False,False,56.60156,8.085938
SK.xelos4s ;E,Terrorist,-432.9603,710.4575,36.35738,Glock,100,0,-6.79064,180.771,-103.125,False,False,False,43.24219,5.625
SK.xelos4s ;E,Terrorist,-433.3846,721.7558,28.34956,Glock,100,0,-6.79064,180.771,-153.125,False,False,False,33.75,3.867188
SK.xelos4s ;E,Terrorist,-433.8089,733.0541,17.21675,Glock,100,0,-6.79064,180.771,-203.125,False,False,False,29.53125,2.8125
SK.xelos4s ;E,Terrorist,-434.2332,744.3525,2.958939,Glock,100,0,-6.79064,180.771,-253.125,False,False,False,25.3125,0.703125
SK.xelos4s ;E,Terrorist,-434.6576,755.6508,-14.42387,Glock,100,0,-6.79064,180.771,-303.125,False,False,False,18.28125,357.1875
SK.xelos4s ;E,Terrorist,-435.0773,766.8267,-31.96875,Glock,100,0,-6.201776,165.0951,0,False,False,False,13.00781,354.0234
SK.xelos4s ;E,Terrorist,-435.882,777.6549,-31.96875,Glock,100,0,-16.50384,179.7272,0,False,False,False,8.789063,352.9688
SK.xelos4s ;E,Terrorist,-437.0048,789.4389,-31.96875,Glock,100,0,-17.9288,195.6104,0,False,False,False,2.460938,351.2109
SK.xelos4s ;E,Terrorist,-437.9234,802.2543,-31.96875,Glock,100,0,-8.022413,211.876,0,False,False,False,358.5938,349.8047
SK.xelos4s ;E,Terrorist,-436.3585,815.2858,-31.96875,Glock,100,0,48.38464,205.9909,0,False,False,False,357.1875,349.1016
SK.xelos4s ;E,Terrorist,-431.8039,827.9958,-31.96875,Glock,100,0,90.0079,201.5742,0,False,False,False,357.5391,349.1016
SK.xelos4s ;E,Terrorist,-425.0529,840.4752,-31.96875,Glock,100,0,120.7584,198.2194,0,False,False,False,357.1875,349.4531
SK.xelos4s ;E,Terrorist,-416.2842,851.7953,-31.96875,Glock,100,0,157.7088,157.9501,0,False,False,False,357.1875,350.1563
