Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2242.62,1846.693,127.0199,Knife,100,0,-230.6824,-96.36185,0,False,False,False,199.6875,4.570313
PnX | CSGOmall.com,CounterTerrorist,2228.149,1840.8,126.8017,Knife,100,0,-232.1888,-92.67355,0,False,False,False,198.9844,4.570313
PnX | CSGOmall.com,CounterTerrorist,2215.414,1835.827,126.6175,Knife,100,0,-233.3394,-89.73696,0,False,False,False,198.6328,4.921875
PnX | CSGOmall.com,CounterTerrorist,2200.794,1830.314,126.4133,Knife,100,0,-234.3307,-87.11545,0,False,False,False,198.6328,4.921875
PnX | CSGOmall.com,CounterTerrorist,2186.122,1824.942,126.2143,Knife,100,0,-235.064,-85.1171,0,False,False,False,198.2813,4.570313
PnX | CSGOmall.com,CounterTerrorist,2169.567,1819.032,126.961,Knife,100,0,-235.7174,-83.29053,0,False,False,False,198.2813,4.570313
PnX | CSGOmall.com,CounterTerrorist,2156.664,1814.511,127.8083,Knife,100,0,-236.0947,-82.21503,0,False,False,False,198.2813,4.570313
PnX | CSGOmall.com,CounterTerrorist,2141.895,1809.409,128.1862,Knife,100,0,-236.4332,-81.23645,0,False,False,False,198.2813,4.570313
PnX | CSGOmall.com,CounterTerrorist,2127.11,1804.359,128.5127,Knife,100,0,-236.6921,-80.03963,0,False,False,False,197.9297,4.921875
PnX | CSGOmall.com,CounterTerrorist,2110.214,1801.315,127.833,Knife,100,0,-242.8202,-17.00882,0,False,False,False,196.875,4.921875
PnX | CSGOmall.com,CounterTerrorist,2096.786,1801.176,129.3194,Knife,100,0,-248.594,-4.973109,0,False,False,False,196.875,4.921875
PnX | CSGOmall.com,CounterTerrorist,2079.262,1799.887,133.468,Knife,100,0,-248.4664,-27.64913,0,False,False,False,196.875,4.921875
PnX | CSGOmall.com,CounterTerrorist,2063.799,1797.659,137.1143,Knife,100,0,-246.6002,-41.08957,0,False,False,False,196.875,5.273438
PnX | CSGOmall.com,CounterTerrorist,2048.461,1794.683,139.7659,Knife,100,0,-244.2915,-53.11953,0,False,False,False,201.0938,5.273438
PnX | CSGOmall.com,CounterTerrorist,2035.178,1791.452,142.0624,Knife,100,0,-243.5665,-56.35017,0,False,False,False,211.289,5.273438
PnX | CSGOmall.com,CounterTerrorist,2019.754,1788.998,146.5553,Knife,100,0,-248.2457,-29.56441,0,False,False,False,221.4844,4.570313
PnX | CSGOmall.com,CounterTerrorist,2002.262,1787.262,151.9885,Knife,100,0,-248.8654,-23.79137,0,False,False,False,231.6797,3.515625
PnX | CSGOmall.com,CounterTerrorist,1988.669,1785.797,155.3926,Knife,100,0,-248.1929,-30.00461,0,False,False,False,238.3594,2.460938
PnX | CSGOmall.com,CounterTerrorist,1971.296,1783.137,159.5344,Knife,100,0,-246.0027,-44.52725,0,False,False,False,243.9844,1.40625
PnX | CSGOmall.com,CounterTerrorist,1957.921,1780.311,160.3204,Knife,100,0,-243.3795,-57.15267,0,False,False,False,247.8516,1.054688
PnX | CSGOmall.com,CounterTerrorist,1940.978,1775.639,160.3204,Knife,100,0,-238.8496,-73.82985,0,False,False,False,251.7188,0.703125
PnX | CSGOmall.com,CounterTerrorist,1928.043,1771.218,160.0313,Knife,100,0,-234.7561,-85.96246,0,False,False,False,254.1797,0.703125
