Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,250.3125,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.4766,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.4766,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.4766,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.4766,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.4766,7.382813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,253.8281,7.03125
