Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,314.2969,10.54688
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,AK47,100,100,0,0,0,False,True,False,312.8906,11.25
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,312.5391,12.65625
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,312.1875,14.0625
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,311.1328,15.46875
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,309.375,16.52344
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,308.3203,16.875
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,308.3203,16.875
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,307.9688,17.57813
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,307.9688,17.57813
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,307.9688,17.57813
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,307.6172,17.92969
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,307.9688,18.28125
PnX | CSGOmall.com,Terrorist,-1589.06,368.891,-63.96875,Knife,100,100,0,0,0,False,True,False,307.9688,18.28125
