Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,943.9688,-133.4751,284.3828,AK47,100,100,0,-155.9761,-153.125,False,True,False,43.24219,9.84375
PnX | CSGOmall.com,Terrorist,945.67,-141.1442,273.25,AK47,100,100,76.44372,-62.54486,-203.125,False,True,False,60.82031,7.03125
PnX | CSGOmall.com,Terrorist,951.0451,-145.5419,256.9902,AK47,100,100,76.44372,-62.54486,0,False,True,False,72.77344,3.515625
PnX | CSGOmall.com,Terrorist,956.4799,-147.9878,256.0313,AK47,100,100,115.2031,0,0,False,True,False,75.23438,1.40625
PnX | CSGOmall.com,Terrorist,964.925,-147.9878,256.0313,AK47,100,100,149.28,0,0,False,True,False,79.10156,0
PnX | CSGOmall.com,Terrorist,976.5986,-147.9994,256.0313,AK47,100,100,178.0737,0,0,False,True,False,82.96875,359.2969
PnX | CSGOmall.com,Terrorist,984.5637,-147.8441,256.0313,AK47,100,100,80.04524,5.428766,0,False,True,False,84.02344,359.2969
PnX | CSGOmall.com,Terrorist,986.2871,-147.4228,256.0313,AK47,100,100,-3.784872,8.021442,0,False,True,False,80.85938,0
PnX | CSGOmall.com,Terrorist,983.8391,-146.0894,256.0313,AK47,100,100,-53.07346,37.43523,0,False,True,False,35.50781,4.570313
PnX | CSGOmall.com,Terrorist,981.3792,-143.6151,256.0313,AK47,100,100,-25.6665,37.58413,0,False,True,False,341.7188,3.515625
PnX | CSGOmall.com,Terrorist,981.2014,-143.021,256.0313,AK47,100,100,5.204932,-11.03609,0,False,True,False,291.0938,359.2969
PnX | CSGOmall.com,Terrorist,982.1568,-143.803,256.0313,AK47,100,100,25.30445,-18.17879,0,False,True,False,282.3047,0.703125
PnX | CSGOmall.com,Terrorist,984.8066,-145.5974,256.0313,AK47,100,100,47.50861,-31.51188,0,False,True,False,282.3047,0.703125
PnX | CSGOmall.com,Terrorist,988.4612,-147.9949,256.0313,AK47,100,100,66.93784,-43.67602,0,False,True,False,282.3047,0.703125
PnX | CSGOmall.com,Terrorist,991.3191,-147.9949,256.0313,AK47,100,100,77.10699,0,0,False,True,False,282.3047,0.703125
PnX | CSGOmall.com,Terrorist,998.8104,-149.1768,256.0313,AK47,100,100,94.45545,-26.01649,0,False,True,False,282.3047,0.703125
PnX | CSGOmall.com,Terrorist,1004.233,-151.0179,256.0313,AK47,100,100,102.4927,-38.74515,0,False,True,False,283.7109,0.3515625
PnX | CSGOmall.com,Terrorist,1011.568,-154.1425,256.0313,AK47,100,100,110.4243,-51.56357,0,False,True,False,283.0078,359.6484
PnX | CSGOmall.com,Terrorist,1019.776,-156.3673,256.0313,AK47,100,100,146.0745,-24.75774,0,False,True,False,280.8984,359.6484
PnX | CSGOmall.com,Terrorist,1028.532,-157.1947,256.0313,AK47,100,100,169.7685,-8.707892,0,False,True,False,279.4922,0
PnX | CSGOmall.com,Terrorist,1041.402,-157.2437,256.0313,AK47,100,100,192.5715,4.51632,0,False,True,False,277.3828,0
PnX | CSGOmall.com,Terrorist,1052.366,-156.8306,256.0313,AK47,100,100,205.9615,9.205872,0,False,True,False,274.5703,359.6484
PnX | CSGOmall.com,Terrorist,1067.243,-156.0827,256.0313,AK47,100,100,206.643,11.03579,0,False,True,False,274.5703,359.6484
PnX | CSGOmall.com,Terrorist,1075.066,-155.7224,256.0313,AK47,100,100,99.45685,3.537025,0,False,True,False,274.9219,359.6484
PnX | CSGOmall.com,Terrorist,1077.774,-155.7292,256.0313,AK47,100,100,0.6513243,-2.289554,0,False,True,False,274.5703,359.6484
PnX | CSGOmall.com,Terrorist,1078.984,-155.6388,256.0313,AK47,100,100,42.2576,3.152167,0,False,True,False,274.2188,359.6484
PnX | CSGOmall.com,Terrorist,1080.837,-155.5006,256.0313,AK47,100,100,-8.320692,-0.6198807,0,False,True,False,274.2188,359.6484
