Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1801.969,502.6052,-47.96875,Smoke,100,100,0,-0.2768598,0,False,True,False,1.40625,357.5391
PnX | CSGOmall.com,Terrorist,-1801.969,502.6388,-47.96875,Smoke,100,100,0,4.561108,0,False,True,False,1.40625,357.5391
PnX | CSGOmall.com,Terrorist,-1801.969,502.6388,-47.96875,Smoke,100,100,0,4.561108,0,False,True,False,1.40625,357.5391
PnX | CSGOmall.com,Terrorist,-1801.971,508.9688,-47.96875,Smoke,100,100,0.0459732,0,0,False,True,False,359.6484,355.4297
PnX | CSGOmall.com,Terrorist,-1801.965,508.9688,-47.96875,Smoke,100,100,0.09969492,0,0,False,True,False,359.2969,353.6719
PnX | CSGOmall.com,Terrorist,-1801.955,508.9688,-47.96875,Smoke,100,100,0.1737714,0,0,False,True,False,358.9453,351.5625
PnX | CSGOmall.com,Terrorist,-1801.969,508.9688,-47.96875,Smoke,100,100,0,0,0,False,True,False,359.6484,348.75
PnX | CSGOmall.com,Terrorist,-1801.969,508.9688,-47.96875,Smoke,100,100,0,0,0,False,True,False,1.054688,346.2891
PnX | CSGOmall.com,Terrorist,-1801.969,508.9688,-47.96875,Smoke,100,100,0,0,0,False,True,False,1.40625,344.8828
PnX | CSGOmall.com,Terrorist,-1801.969,508.9644,-47.96875,Smoke,100,100,0,0,0,False,True,False,1.40625,344.8828
PnX | CSGOmall.com,Terrorist,-1801.969,508.9644,-47.96875,Smoke,100,100,0,0,0,False,True,False,1.054688,344.5313
PnX | CSGOmall.com,Terrorist,-1801.969,508.9644,-47.96875,Smoke,100,100,0,0,0,False,True,False,0.703125,344.1797
PnX | CSGOmall.com,Terrorist,-1801.969,508.9644,-47.96875,Smoke,100,100,0,0,0,False,True,False,0.3515625,344.1797
PnX | CSGOmall.com,Terrorist,-1801.885,508.9652,-47.96875,Smoke,100,100,10.7183,0.09785613,0,False,True,False,0.3515625,344.1797
PnX | CSGOmall.com,Terrorist,-1798.991,508.9716,-47.96875,Smoke,100,100,73.96521,0,0,False,True,False,0.3515625,344.1797
PnX | CSGOmall.com,Terrorist,-1792.321,508.9716,-47.96875,Smoke,100,100,129.7477,0,0,False,True,False,0.3515625,344.1797
