Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),Terrorist,-1589.54,445.7906,-63.96879,Knife,100,100,-17.75954,-229.2822,0,False,True,False,291.4453,2.8125
[R] NillE ;-),Terrorist,-1591.608,431.093,-63.96879,Knife,100,100,-43.87813,-239.275,0,False,True,False,291.4453,2.8125
[R] NillE ;-),Terrorist,-1593.409,413.892,-63.96879,Knife,100,100,-6.400451,-248.5859,0,False,True,False,291.4453,2.8125
[R] NillE ;-),Terrorist,-1592.728,398.2945,-63.96879,Knife,100,100,22.88571,-248.9503,0,False,True,False,291.4453,2.8125
[R] NillE ;-),Terrorist,-1590.531,382.8291,-63.96879,Knife,100,100,43.75513,-246.1412,0,False,True,False,291.7969,3.164063
[R] NillE ;-),Terrorist,-1587.661,369.4641,-63.96879,Knife,100,100,58.84295,-242.9763,0,False,True,False,294.6094,3.515625
[R] NillE ;-),Terrorist,-1584.453,352.2102,-63.96879,Knife,100,100,25.80007,-248.6651,0,False,True,False,296.0156,4.21875
[R] NillE ;-),Terrorist,-1584.013,336.6013,-63.96879,Knife,100,100,-6.020886,-249.9275,0,False,True,False,296.0156,4.21875
[R] NillE ;-),Terrorist,-1583.55,320.997,-63.96879,Knife,100,100,22.79229,-248.9588,0,False,True,False,296.0156,4.21875
[R] NillE ;-),Terrorist,-1581.142,305.5659,-63.96879,Knife,100,100,49.3885,-245.073,0,False,True,False,296.0156,4.21875
[R] NillE ;-),Terrorist,-1576.264,286.6602,-63.96879,Knife,100,100,71.70979,-239.4947,0,False,True,False,296.3672,4.21875
[R] NillE ;-),Terrorist,-1571.923,273.6979,-63.96879,Knife,100,100,85.38799,-234.9657,0,False,True,False,301.2891,4.21875
[R] NillE ;-),Terrorist,-1565.917,259.2784,-63.96879,Knife,100,100,105.132,-226.8199,0,False,True,False,310.0781,4.21875
[R] NillE ;-),Terrorist,-1558.514,245.5276,-63.96879,Knife,100,100,129.2545,-213.9936,0,False,True,False,319.9219,4.21875
[R] NillE ;-),Terrorist,-1549.577,232.7216,-63.96879,Knife,100,100,153.2705,-197.5048,0,False,True,False,326.25,4.921875
[R] NillE ;-),Terrorist,-1539.232,221.0225,-63.96879,Knife,100,100,174.783,-178.7482,0,False,True,False,332.9297,4.921875
[R] NillE ;-),Terrorist,-1527.642,210.5533,-63.96879,Knife,100,100,192.7671,-159.1881,0,False,True,False,335.3906,4.921875
[R] NillE ;-),Terrorist,-1515.157,201.1654,-63.96879,Knife,100,100,204.4572,-143.8653,0,False,True,False,335.3906,4.921875
[R] NillE ;-),Terrorist,-1502.097,192.5901,-63.96879,Knife,100,100,211.9708,-132.5457,0,False,True,False,335.3906,4.921875
[R] NillE ;-),Terrorist,-1488.666,184.6078,-63.96879,Knife,100,100,216.9243,-124.2733,0,False,True,False,336.0938,4.921875
[R] NillE ;-),Terrorist,-1474.905,177.2107,-63.96879,Knife,100,100,223.3786,-112.2587,0,False,True,False,345.2344,4.921875
[R] NillE ;-),Terrorist,-1460.603,170.9352,-63.96879,Knife,100,100,233.2026,-90.09195,0,False,True,False,355.7813,4.921875
[R] NillE ;-),Terrorist,-1445.711,166.2317,-63.96879,Knife,100,100,241.7841,-63.56431,0,False,True,False,3.164063,4.921875
[R] NillE ;-),Terrorist,-1432.324,163.4786,-63.96879,Knife,100,100,246.6727,-40.65165,0,False,True,False,7.03125,4.921875
[R] NillE ;-),Terrorist,-1414.847,161.679,-61.67946,Knife,100,100,249.6014,-14.11153,0,False,True,False,10.89844,5.273438
