Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Flash,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Flash,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Flash,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Flash,100,80,0,0,0,False,True,False,221.8359,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Flash,100,80,0,0,0,False,True,False,219.7266,4.921875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Flash,100,80,0,0,0,False,True,False,208.125,3.164063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,197.2266,4.570313
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,191.25,5.273438
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,189.1406,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,189.1406,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,189.1406,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,189.1406,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,189.1406,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,190.1953,4.21875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Smoke,100,80,0,0,0,False,True,False,188.4375,3.164063
PnX | CSGOmall.com,Terrorist,-1509.378,505.6794,-63.96875,Smoke,100,80,-65.49674,-8.620029,0,False,True,False,187.3828,3.164063
PnX | CSGOmall.com,Terrorist,-1515.198,506.3465,-63.96875,Smoke,100,80,-110.2507,31.6243,0,False,True,False,186.6797,3.164063
PnX | CSGOmall.com,Terrorist,-1523.187,509.7373,-63.96875,Smoke,100,80,-140.0562,70.26961,0,False,True,False,185.9766,3.164063
