PathName,NumFrames,Average dead reckoned error distance,DeadUpdates,Average led reckoned error distance,LedUpdates
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409486699.player0.path2.csv,397,5.6967519733268,49,6.85277487198739,33
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409486699.player0.path6.csv,2002,10.2387573519009,378,11.8777770722394,276
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409486699.player0.path28.csv,752,9.1749988099745,111,10.9800370398466,129
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409486699.player2.path8.csv,1922,12.114889602775,414,13.8303554758308,276
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409486699.player8.path9.csv,1427,7.20241711293762,213,7.90377663905127,129
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409514179.player1.path22.csv,813,8.58439165562481,133,9.63101395026007,85
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R1_1409514179.player4.path23.csv,1420,9.79691582911049,214,11.1054255235942,258
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R2_1409475752.player2.path36.csv,777,7.73319181505988,107,8.04168885586305,76
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R2_1409475752.player6.path21.csv,2170,13.2927739842183,542,15.0812707286767,515
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R2_1409475752.player8.path13.csv,508,9.53576355418521,107,10.9285081590966,60
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R2_1409499209.player2.path29.csv,1569,9.95609569264658,188,10.7582903877567,234
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4064_R2_1409499209.player8.path26.csv,556,8.04470330340097,87,8.81963613256297,74
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_1406390437.player3.path24.csv,1836,12.2462236793162,413,14.5570296355521,332
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_1406390437.player4.path9.csv,2196,13.1989829280761,618,15.4800724399743,556
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_1406390437.player4.path20.csv,1431,13.2114618686182,405,13.8989917761033,375
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_1406390437.player6.path16.csv,1139,10.6849263454414,250,12.1363238537343,184
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_1406390437.player8.path19.csv,1244,12.1143123396225,316,13.4556144692263,279
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_LGB eSpor_fnatic.player5.path7.csv,1415,11.3851565670868,301,12.9929946753369,332
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_LGB eSpor_fnatic.player5.path12.csv,1469,6.65410768602851,160,7.48513215261899,117
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_LGB eSpor_fnatic.player9.path23.csv,1518,12.6492541581795,393,14.2659867019463,256
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R1_LGB eSpor_fnatic.player9.path27.csv,1802,12.1042274106672,422,12.9731659568579,303
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R2_Ninjas in_Team Dign.player2.path8.csv,1744,10.6356620351051,275,11.8958492783795,377
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R2_Ninjas in_Team Dign.player4.path4.csv,440,16.3314443534088,172,18.7046152019297,122
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R2_Ninjas in_Team Dign.player4.path11.csv,1735,13.2916784336491,444,15.1071742883783,242
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R2_Ninjas in_Team Dign.player7.path0.csv,1503,17.7790683729503,607,21.0626922109051,387
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R2_Ninjas in_Team Dign.player8.path0.csv,759,15.5616362245415,281,17.5336482937808,202
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R2_Ninjas in_Team Dign.player8.path8.csv,1747,12.360929836131,399,13.9518376103835,301
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R2_Virtus Pr_LGB eSpor.player6.path16.csv,1803,13.4358386416814,493,14.8370858515478,334
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R2_Virtus Pr_LGB eSpor.player8.path24.csv,1193,10.9885353342624,220,13.1256009600646,244
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R3_1406390991.player2.path23.csv,1160,10.5641725818707,244,12.2402719258014,263
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4078_R3_1406390991.player9.path14.csv,1545,13.1641211177799,405,15.3493966916739,319
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4080_R1_Clan-Myst_fnatic.player1.path15.csv,904,12.1887243649159,227,14.3302544708567,158
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4080_R1_Clan-Myst_fnatic.player6.path30.csv,1799,13.0677273488495,484,14.9570551542821,349
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4080_R1_LGB eSpor_Clan-Myst.player4.path3.csv,1309,12.0859777289463,322,14.6139020013702,212
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4080_R1_LGB eSpor_Clan-Myst.player4.path9.csv,1788,13.8934919507757,516,15.2187466570899,306
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4080_R1_LGB eSpor_Clan-Myst.player5.path15.csv,1511,10.4580532891813,281,12.5213592992426,261
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4080_R1_LGB eSpor_Clan-Myst.player6.path11.csv,1019,11.0436773839972,212,12.7386979763785,212
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4080_R1_LGB eSpor_Clan-Myst.player8.path13.csv,2448,8.35877311721558,424,9.61868577919387,382
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Recursive.player1.path25.csv,875,13.475984813538,266,15.0965033645967,200
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Recursive.player2.path18.csv,709,9.04851142942301,91,11.0085939430648,61
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Recursive.player2.path23.csv,987,10.3412382685298,149,11.3792087513894,112
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Recursive.player2.path25.csv,1879,11.7783674172265,376,13.5239177199936,328
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Recursive.player3.path9.csv,1460,13.3513012646299,401,14.9701872597333,286
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Recursive.player6.path29.csv,1533,11.8069044076799,350,13.8071314612609,254
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Recursive.player8.path18.csv,1950,13.5000517155445,526,15.5088542946295,376
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Recursive.player9.path14.csv,1548,13.2624504504215,442,14.9398657185717,352
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Ninjas in_Universal.player9.path12.csv,1466,13.4784399766375,434,15.4385622730063,324
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4081_R1_Recursive_iBUYPOWER.player0.path17.csv,2230,11.9628336413905,540,13.9580507759135,535
